# mu value:
1.300000
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio, DeltaPDFs
0.0009, 0, 0, -nan, 0
0.001, 0, 0, -nan, 0
0.002, 0, 0, -nan, 0
0.003, 0, 0, -nan, 0
0.004, 0, 0, -nan, 0
0.005, 0, 0, -nan, 0
0.006, 0, 0, -nan, 0
0.007, 0, 0, -nan, 0
0.008, 0, 0, -nan, 0
0.009, 0, 0, -nan, 0
0.01, 0, 0, -nan, 0
0.02, 0, 0, -nan, 0
0.03, 0, 0, -nan, 0
0.04, 0, 0, -nan, 0
0.05, 0, 0, -nan, 0
0.06, 0, 0, -nan, 0
0.07, 0, 0, -nan, 0
0.08, 0, 0, -nan, 0
0.09, 0, 0, -nan, 0
0.1, 0, 0, -nan, 0
0.2, 0, 0, -nan, 0
0.3, 0, 0, -nan, 0
0.4, 0, 0, -nan, 0
0.5, 0, 0, -nan, 0
0.6, 0, 0, -nan, 0
0.7, 0, 0, -nan, 0
0.8, 0, 0, -nan, 0
0.9, 0, 0, -nan, 0
